name,object_id,epoch,mean_motion,eccentricity,inclination,ra_of_asc_node,arg_of_pericenter,mean_anomaly,ephemeris_type,classification_type,norad_cat_id,element_set_no,rev_at_epoch,bstar,mean_motion_dot,mean_motion_ddot,launch_country
STARLINK-30808,2023-171W,2024-05-04 16:10:35.950080+00:00,15.0252301,0.0001817,43.0062,350.2864,268.3559,91.7075,0,U,58250,999,2833,-0.00014084,-2.105e-05,0.0,Bahamas
ICEYE-X32,2023-174AP,2024-05-04 19:32:39.776928+00:00,15.20788941,0.0009095,97.4585,201.2816,27.7209,332.4509,0,U,58293,999,2714,0.00078918,0.00017368,0.0,Norfolk Island
UMBRA-07,2023-174AT,2024-05-04 10:45:32.422752+00:00,15.11107363,0.0001643,97.4581,199.475,167.9317,192.1953,0,U,58297,999,2699,0.00088081,0.0001471,0.0,Latvia
IMPULSE-1 MIRA,2023-174AX,2024-05-04 11:05:26.861280+00:00,14.99963366,0.0084615,97.3415,198.5385,205.3495,154.3568,0,U,58301,999,2699,0.00038654,5.119e-05,0.0,Bhutan
NINJASAT,2023-174CP,2024-05-04 19:15:49.688352+00:00,15.20843337,0.0008566,97.4579,201.4128,2.2036,357.9236,0,U,58341,999,2715,0.00062068,0.00013658,0.0,French Southern Territories
STARLINK-30858,2023-177H,2024-05-04 05:12:47.923776+00:00,15.02544266,9.95e-05,43.0034,56.8191,242.7636,117.3105,0,U,58358,999,2677,0.00020858,2.616e-05,0.0,Bhutan
STARLINK-30852,2023-177Y,2024-05-04 03:32:16.838304+00:00,15.02531668,9.42e-05,43.0023,57.1192,258.6564,101.4173,0,U,58373,999,2674,2.4097e-05,1.22e-06,0.0,Bolivia
STARLINK-30910,2023-178C,2024-05-04 14:57:35.251488+00:00,15.2799939,0.0001159,53.1275,254.5235,90.7756,269.3376,0,U,58376,999,2665,0.00012252,3.042e-05,0.0,Norfolk Island
STARLINK-30923,2023-178H,2024-05-04 17:31:45.855840+00:00,15.28016686,0.0001147,53.1138,253.7008,106.0401,254.0724,0,U,58381,999,2657,-3.661e-06,-4.52e-06,0.0,South Georgia and the South Sandwich Islands
STARLINK-30929,2023-178N,2024-05-04 17:37:53.179392+00:00,15.28063253,0.0001119,53.1121,250.816,114.0947,246.0169,0,U,58386,999,2668,0.00028143,7.462e-05,0.0,Syrian Arab Republic
STARLINK-30937,2023-178U,2024-05-04 14:56:57.692544+00:00,15.27999737,0.0001339,53.1185,253.753,99.8995,260.2155,0,U,58392,999,2666,-1.0221e-05,-6.34e-06,0.0,Tajikistan
STARLINK-30955,2023-180R,2024-05-04 17:03:55.063872+00:00,15.02530271,7.88e-05,43.0028,118.01,275.5812,84.4941,0,U,58417,999,2620,3.0639e-05,2.1e-06,0.0,Tajikistan
STARLINK-30935,2023-183U,2024-05-04 15:57:21.986784+00:00,15.02533136,0.0001236,43.0045,105.7496,267.1371,92.933,0,U,58455,999,2534,5.8791e-05,5.91e-06,0.0,Thailand
STARLINK-30980,2023-186D,2024-05-04 08:48:32.084064+00:00,15.02527489,0.0001282,43.0001,131.722,269.6183,90.4513,0,U,58476,999,2436,-3.8979e-05,-7.3e-06,0.0,Bosnia and Herzegovina
STARLINK-30984,2023-186H,2024-05-04 17:10:59.609280+00:00,15.02539249,0.0001027,43.0038,129.1684,267.5624,92.5101,0,U,58480,999,2443,0.00014069,1.698e-05,0.0,Bermuda
STARLINK-31028,2023-191J,2024-05-04 11:58:48.288864+00:00,15.02518884,7.32e-05,42.9988,169.5124,283.4438,76.6323,0,U,58516,999,2400,-4.9971e-05,-8.78e-06,0.0,Bhutan
STARLINK-31036,2023-192C,2024-05-04 19:54:24.845472+00:00,15.28034524,0.0001231,53.1592,312.1139,139.25,220.8592,0,U,58533,999,2402,6.0703e-05,1.332e-05,0.0,Bermuda
STARLINK-30936,2023-192D,2024-05-04 19:13:39.944928+00:00,15.28018653,8.73e-05,53.1596,312.6381,86.04,274.07,0,U,58534,999,2400,8.7938e-05,2.086e-05,0.0,Thailand
UNICORN-2J,2023-174CX,2024-05-04 17:56:56.352480+00:00,15.43615554,0.0008267,97.4483,203.1302,307.9956,52.0544,0,U,58566,999,2726,0.0029342,0.00134183,0.0,Bahamas
UNICORN-2N,2023-185N,2024-05-04 17:37:55.916544+00:00,15.07917752,0.0017272,97.6304,193.5574,82.9039,277.4152,0,U,58642,999,1997,0.002108,0.00032527,0.0,Syrian Arab Republic
STARLINK-11076 [DTC],2024-002E,2024-05-04 19:54:32.496192+00:00,15.69705285,0.0001086,53.1569,2.9789,91.2549,268.8593,0,U,58709,999,2034,1.303e-05,9.9e-06,0.0,Iraq
NANOFF B,2023-185S,2024-05-04 19:34:28.000704+00:00,15.02845488,0.0015683,97.6189,193.1935,69.4579,290.8328,0,U,58755,999,1730,0.00032805,4.347e-05,0.0,Syrian Arab Republic
STARLINK-31103,2024-011R,2024-05-04 09:49:04.478304+00:00,15.4104666,0.0013553,53.1593,173.3965,9.6492,350.4771,0,U,58780,999,1822,0.0013096,0.00055065,0.0,China
STARLINK-31189,2024-012A,2024-05-04 09:12:45.545472+00:00,15.25906353,9.75e-05,43.0021,7.0019,268.5198,91.5541,0,U,58787,999,1804,2.374e-05,3.64e-06,0.0,South Georgia and the South Sandwich Islands
STARLINK-31185,2024-012B,2024-05-04 17:00:49.580352+00:00,15.2589182,0.0001666,43.0018,5.1402,277.8954,82.1708,0,U,58788,999,1823,0.00015308,3.747e-05,0.0,French Polynesia
STARLINK-31192,2024-012H,2024-05-04 09:22:21.544896+00:00,15.25897538,0.0001426,43.001,6.199,279.2123,80.8566,0,U,58794,999,1805,-0.00015331,-4.264e-05,0.0,Norfolk Island
STARLINK-31197,2024-019G,2024-05-04 21:19:05.542176+00:00,15.25908047,8.83e-05,43.0044,88.1479,268.4613,91.6137,0,U,58859,999,1610,1.2768e-05,7.7e-07,0.0,Norfolk Island
STARLINK-31198,2024-019Q,2024-05-04 14:39:15.033024+00:00,15.25920103,0.0001229,43.004,89.469,262.1261,97.9451,0,U,58867,999,1580,0.001259,0.00032832,0.0,French Southern Territories
STARLINK-31203,2024-019S,2024-05-04 21:23:52.891296+00:00,15.25916081,0.0001218,43.0045,82.9825,264.8784,95.1928,0,U,58869,999,1616,3.5987e-05,6.84e-06,0.0,Egypt
2024-023F,2024-023F,2024-05-04 20:01:27.947136+00:00,14.90783057,0.0008542,49.9905,7.0128,267.9067,92.0896,0,U,58910,999,1369,0.00053841,5.118e-05,0.0,Iraq
2024-023J,2024-023J,2024-05-04 21:13:33.941568+00:00,14.88790459,0.0008763,50.006,7.4588,135.5975,224.567,0,U,58913,999,1369,0.00044591,3.985e-05,0.0,Mayotte
2024-024F,2024-024F,2024-05-04 20:49:29.155584+00:00,15.2074974,0.0009068,97.3885,201.4047,336.4274,23.6545,0,U,58922,999,1392,0.00060719,0.00013325,0.0,French Polynesia
PACE,2024-025A,2024-05-03 19:36:01.697184+00:00,14.65434448,0.0001966,98.0935,57.0694,87.6066,272.5362,0,U,58928,999,1252,0.0001537,7.84e-06,0.0,Djibouti
STARLINK-31330,2024-027W,2024-05-03 12:23:24.552960+00:00,15.28013434,6.48e-05,53.1568,204.506,79.8739,280.2334,0,U,58951,999,1382,-0.00026353,-7.64e-05,0.0,Egypt
STARLINK-31373,2024-031A,2024-05-04 11:25:40.352736+00:00,15.27975665,0.0001454,53.1561,188.6737,108.5884,251.5273,0,U,58965,999,1330,-0.00081681,-0.00022875,0.0,Latvia
STARLINK-31365,2024-031J,2024-05-04 04:41:28.937184+00:00,15.28011696,0.000175,53.1589,189.7625,84.64,275.48,0,U,58973,999,1326,0.00010342,2.514e-05,0.0,Egypt
MERAH PUTIH 2,2024-035A,2024-05-04 01:42:12.799872+00:00,1.00271756,0.0001477,0.0145,259.8179,131.9933,329.1506,0,U,58995,999,86,0.0,-3.6e-06,0.0,Egypt
STARLINK-31006,2024-038B,2024-05-04 15:38:26.664000+00:00,15.40725283,0.0001326,42.998,218.848,257.5205,102.5503,0,U,59024,999,1184,0.00017302,6.937e-05,0.0,Tajikistan
STARLINK-31224,2024-038G,2024-05-04 11:06:50.506848+00:00,15.25907203,0.000147,43.0021,227.8349,271.4063,88.662,0,U,59029,999,1172,0.00024523,6.162e-05,0.0,Thailand
STARLINK-31210,2024-038L,2024-05-04 17:59:31.207200+00:00,15.25910873,0.0001515,43.0004,225.6958,278.362,81.7059,0,U,59033,999,1183,0.00098797,0.00025677,0.0,Mayotte
SITRO-AIS 29,2024-039B,2024-05-04 20:07:28.407936+00:00,15.25499643,0.0019228,97.3892,88.2708,19.1541,341.0416,0,U,59052,999,998,0.00078001,0.00019821,0.0,Syrian Arab Republic
STARLINK-31292,2024-041H,2024-05-04 11:37:44.875488+00:00,15.2589998,0.0001337,43.0018,152.8488,290.8886,69.1822,0,U,59081,999,1123,8.4493e-05,1.953e-05,0.0,Egypt
STARLINK-31286,2024-041J,2024-05-04 11:34:30.426240+00:00,15.25876587,0.0001221,43.0013,152.8307,285.399,74.6726,0,U,59082,999,1123,1.0147e-05,8e-08,0.0,Norfolk Island
BRO-12,2024-043L,2024-05-04 20:09:57.718368+00:00,14.92644218,0.0010132,97.7595,250.0597,55.8934,304.3246,0,U,59108,999,909,0.00016918,1.688e-05,0.0,Philippines
SONATE-2,2024-043Q,2024-05-04 20:43:04.874304+00:00,15.17414588,0.001647,97.4721,250.2251,87.6969,272.615,0,U,59112,999,923,0.00046122,9.191e-05,0.0,Latvia
